subject,label,label_name,aligned_start_sec,duration_sec
10,0,Wakefulness,60,30
10,0,Wakefulness,90,30
10,0,Wakefulness,120,30
10,0,Wakefulness,150,30
10,0,Wakefulness,180,30
10,0,Wakefulness,210,30
10,0,Wakefulness,240,30
10,0,Wakefulness,270,30
10,0,Wakefulness,300,30
10,0,Wakefulness,330,30
10,0,Wakefulness,360,30
10,0,Wakefulness,390,30
10,0,Wakefulness,420,30
10,0,Wakefulness,450,30
10,0,Wakefulness,480,30
10,0,Wakefulness,510,30
10,0,Wakefulness,540,30
10,0,Wakefulness,570,30
10,0,Wakefulness,600,30
10,0,Wakefulness,630,30
10,0,Wakefulness,660,30
10,0,Wakefulness,690,30
10,0,Wakefulness,720,30
10,0,Wakefulness,750,30
10,0,Wakefulness,780,30
10,0,Wakefulness,810,30
10,0,Wakefulness,840,30
10,0,Wakefulness,870,30
10,0,Wakefulness,900,30
10,0,Wakefulness,930,30
10,0,Wakefulness,960,30
10,0,Wakefulness,990,30
10,0,Wakefulness,1020,30
10,0,Wakefulness,1050,30
10,0,Wakefulness,1080,30
10,1,Fatigue1,1140,30
10,0,Wakefulness,1200,30
10,1,Fatigue1,1290,30
10,0,Wakefulness,1350,30
10,0,Wakefulness,1380,30
10,0,Wakefulness,1410,30
10,0,Wakefulness,1440,30
10,0,Wakefulness,1470,30
10,0,Wakefulness,1500,30
10,0,Wakefulness,1530,30
10,0,Wakefulness,1560,30
10,0,Wakefulness,1590,30
10,0,Wakefulness,1620,30
10,0,Wakefulness,1650,30
10,0,Wakefulness,1680,30
10,0,Wakefulness,1710,30
10,0,Wakefulness,1800,30
10,0,Wakefulness,1830,30
10,0,Wakefulness,1860,30
10,0,Wakefulness,1890,30
10,1,Fatigue1,1950,30
10,1,Fatigue1,1980,30
10,1,Fatigue1,2010,30
10,0,Wakefulness,2070,30
10,0,Wakefulness,2100,30
10,0,Wakefulness,2130,30
10,0,Wakefulness,2160,30
10,0,Wakefulness,2190,30
10,0,Wakefulness,2220,30
10,0,Wakefulness,2250,30
10,0,Wakefulness,2280,30
10,0,Wakefulness,2310,30
10,0,Wakefulness,2400,30
10,2,Fatigue2,2460,30
10,1,Fatigue1,2550,30
10,1,Fatigue1,2580,30
10,1,Fatigue1,2610,30
10,0,Wakefulness,2670,30
10,0,Wakefulness,2700,30
10,1,Fatigue1,2760,30
10,1,Fatigue1,2790,30
10,0,Wakefulness,2910,30
10,0,Wakefulness,2940,30
10,0,Wakefulness,3000,30
10,0,Wakefulness,3030,30
10,0,Wakefulness,3120,30
10,2,Fatigue2,3210,30
10,0,Wakefulness,3270,30
10,0,Wakefulness,3300,30
10,0,Wakefulness,3330,30
10,0,Wakefulness,3360,30
10,0,Wakefulness,3390,30
10,0,Wakefulness,3420,30
10,0,Wakefulness,3510,30
10,0,Wakefulness,3540,30
10,0,Wakefulness,3630,30
10,0,Wakefulness,3660,30
10,0,Wakefulness,3690,30
10,0,Wakefulness,3720,30
10,0,Wakefulness,3750,30
10,0,Wakefulness,3780,30
10,0,Wakefulness,3810,30
10,0,Wakefulness,3840,30
10,0,Wakefulness,3870,30
10,0,Wakefulness,3900,30
10,0,Wakefulness,3930,30
10,0,Wakefulness,3960,30
10,0,Wakefulness,3990,30
10,0,Wakefulness,4020,30
10,0,Wakefulness,4050,30
10,0,Wakefulness,4080,30
10,0,Wakefulness,4110,30
10,0,Wakefulness,4140,30
10,0,Wakefulness,4170,30
10,0,Wakefulness,4200,30
10,0,Wakefulness,4230,30
10,0,Wakefulness,4260,30
10,0,Wakefulness,4290,30
10,0,Wakefulness,4320,30
10,0,Wakefulness,4350,30
10,0,Wakefulness,4380,30
10,0,Wakefulness,4410,30
10,0,Wakefulness,4440,30
10,0,Wakefulness,4470,30
10,0,Wakefulness,4500,30
10,0,Wakefulness,4530,30
10,0,Wakefulness,4560,30
10,0,Wakefulness,4590,30
10,0,Wakefulness,4620,30
10,0,Wakefulness,4650,30
10,0,Wakefulness,4680,30
10,0,Wakefulness,4710,30
10,0,Wakefulness,4740,30
10,0,Wakefulness,4770,30
10,0,Wakefulness,4800,30
10,0,Wakefulness,4830,30
10,0,Wakefulness,4860,30
10,0,Wakefulness,4890,30
10,0,Wakefulness,4920,30
10,0,Wakefulness,4950,30
10,0,Wakefulness,4980,30
10,0,Wakefulness,5010,30
10,0,Wakefulness,5040,30
10,0,Wakefulness,5070,30
10,0,Wakefulness,5100,30
10,0,Wakefulness,5130,30
10,0,Wakefulness,5160,30
10,0,Wakefulness,5190,30
10,0,Wakefulness,5220,30
10,0,Wakefulness,5250,30
10,0,Wakefulness,5280,30
10,0,Wakefulness,5310,30
10,0,Wakefulness,5340,30
10,0,Wakefulness,5370,30
10,0,Wakefulness,5400,30
10,0,Wakefulness,5430,30
10,1,Fatigue1,5490,30
10,0,Wakefulness,5550,30
10,0,Wakefulness,5580,30
10,0,Wakefulness,5610,30
10,0,Wakefulness,5640,30
10,0,Wakefulness,5670,30
10,0,Wakefulness,5700,30
10,1,Fatigue1,5820,30
10,0,Wakefulness,5880,30
10,0,Wakefulness,5910,30
10,0,Wakefulness,5940,30
10,0,Wakefulness,5970,30
10,0,Wakefulness,6000,30
10,0,Wakefulness,6030,30
10,0,Wakefulness,6060,30
10,0,Wakefulness,6090,30
10,0,Wakefulness,6120,30
10,0,Wakefulness,6150,30
10,0,Wakefulness,6180,30
10,0,Wakefulness,6210,30
10,0,Wakefulness,6300,30
10,0,Wakefulness,6390,30
10,0,Wakefulness,6420,30
10,0,Wakefulness,6450,30
10,0,Wakefulness,6480,30
10,0,Wakefulness,6510,30
10,0,Wakefulness,6540,30
10,0,Wakefulness,6570,30
10,0,Wakefulness,6600,30
10,0,Wakefulness,6630,30
10,0,Wakefulness,6660,30
10,0,Wakefulness,6690,30
10,0,Wakefulness,6720,30
10,0,Wakefulness,6750,30
10,0,Wakefulness,6780,30
10,0,Wakefulness,6810,30
10,0,Wakefulness,6840,30
10,0,Wakefulness,6870,30
10,0,Wakefulness,6900,30
10,0,Wakefulness,6930,30
10,0,Wakefulness,6960,30
10,1,Fatigue1,6990,30
10,1,Fatigue1,7020,30
10,1,Fatigue1,7050,30
10,1,Fatigue1,7080,30
10,1,Fatigue1,7110,30
10,1,Fatigue1,7140,30
10,1,Fatigue1,7170,30
10,2,Fatigue2,7230,30
10,2,Fatigue2,7260,30
10,2,Fatigue2,7290,30
10,2,Fatigue2,7320,30
10,3,Fatigue3,7380,30
10,3,Fatigue3,7410,30
10,3,Fatigue3,7440,30
10,3,Fatigue3,7470,30
10,2,Fatigue2,7530,30
10,2,Fatigue2,7560,30
10,3,Fatigue3,7620,30
10,3,Fatigue3,7650,30
10,3,Fatigue3,7680,30
10,3,Fatigue3,7710,30
10,3,Fatigue3,7740,30
10,4,Fatigue4,7800,30
10,4,Fatigue4,7830,30
10,4,Fatigue4,7860,30
10,4,Fatigue4,7890,30
10,4,Fatigue4,7920,30
10,4,Fatigue4,7950,30
10,4,Fatigue4,7980,30
10,4,Fatigue4,8010,30
